fiscal_quarter,segment,new_logos_count,new_logo_arr,new_logo_arpa,new_logo_acquisition_sm_current_quarter,new_logo_acquisition_sm_prior_quarter,gross_margin_pct,cac,cac_per_dollar_new_logo_arr,cac_payback_months
2024Q2,Blended,48,1061618.76,22117.0575,1932046.013727282,1776464.30651032,0.7640622998472391,37009.673052298334,1.8199056822689172,26.28090861879889
2024Q2,Enterprise,3,506175.24,168725.08,472955.24174545327,437935.56299518765,0.7640622998472391,145978.5209983959,0.9343705585943977,13.58819564129379
2024Q2,Mid-Market,10,282512.16,28251.215999999997,768367.6198549464,704439.1748933009,0.7640622998472391,70443.91748933008,2.7197683096364647,39.16145586612428
2024Q2,SMB,35,272931.36,7798.038857142857,690723.1521268823,634089.5686218315,0.7640622998472391,18116.844817766614,2.5307577411656994,36.48796512126826
2024Q3,Blended,38,770410.20,20273.952631578944,1922513.974657509,1932046.013727282,0.7640622998472391,50843.31615071795,2.4954420056451863,39.38654771583246
2024Q3,Enterprise,1,174091.44,174091.44,497754.83520824404,472955.24174545327,0.7640622998472391,472955.24174545327,2.8591574359327723,42.66729398381283
2024Q3,Mid-Market,9,420231.12,46692.346666666665,765566.3633976721,768367.6198549464,0.7640622998472391,85374.17998388293,1.8217745591941694,28.71661982943935
2024Q3,SMB,28,176087.64,6288.844285714286,659192.7760515929,690723.1521268823,0.7640622998472391,24668.68400453151,3.7435493828618114,61.606653022206416
2024Q4,Blended,69,2070857.52,30012.427826086958,2020543.3828206095,1922513.974657509,0.7640622998472391,27862.521371847957,0.9757037185352131,14.580477955606195
2024Q4,Enterprise,4,1185330.24,296332.56,520205.4641473534,497754.83520824404,0.7640622998472391,124438.70880206101,0.4388696471182187,6.595209534359149
2024Q4,Mid-Market,15,480955.92,32063.728,811728.1057960031,765566.3633976721,0.7640622998472391,51037.7575598448,1.6877390880145589,24.99942636858526
2024Q4,SMB,50,404571.36,8091.4272,688609.812877253,659192.7760515929,0.7640622998472391,13183.855521031857,1.702072566078956,25.589970112501085
2025Q1,Blended,63,1644481.08,26102.874285714286,2052854.7419825075,2020543.3828206095,0.7640622998472391,32072.117187628723,1.2483298026040577,19.297087806996974
2025Q1,Enterprise,3,669615.12,223205.04,526064.48620743,520205.4641473534,0.7640622998472391,173401.82138245113,0.7856221738353668,12.20118838931004
2025Q1,Mid-Market,13,562312.44,43254.803076923075,832266.352419546,811728.1057960031,0.7640622998472391,62440.62352276947,1.4800781437798993,22.67176684715311
2025Q1,SMB,47,412553.52,8777.734468085107,694523.9033555316,688609.812877253,0.7640622998472391,14651.27261440964,1.6834758878206435,26.21472975269002
2025Q2,Blended,52,963912.24,18536.773846153847,2222844.5135346353,2052854.7419825075,0.7640622998472391,39477.97580735591,2.306065242552201,33.44823453612325
2025Q2,Enterprise,1,77274.96,77274.96,575405.4880061881,526064.48620743,0.7640622998472391,526064.48620743,7.446208810799618,106.91845389926284
2025Q2,Mid-Market,10,476625.48,47662.547999999995,875263.666307885,832266.352419546,0.7640622998472391,83226.6352419546,1.8363761549380133,27.424426601749307
2025Q2,SMB,41,410011.80,10000.287804878048,772175.3592205624,694523.9033555316,0.7640622998472391,16939.607398915407,1.8833003323820494,26.603778073335977
2025Q3,Blended,42,669071.52,15930.274285714286,2133826.666604856,2222844.5135346353,0.7640622998472391,52924.86936987227,3.1892355343489376,52.1781907296406
2025Q3,Enterprise,0,0.00,,552891.0773246624,575405.4880061881,0.7640622998472391,,,
2025Q3,Mid-Market,9,419669.88,46629.986666666664,835855.3439761648,875263.666307885,0.7640622998472391,97251.51847865389,1.9916972454067106,32.75545032255234
2025Q3,SMB,33,249401.64,7557.625454545455,745080.245304029,772175.3592205624,0.7640622998472391,23399.25330971401,2.9874713145592344,48.62606301054499
2025Q4,Blended,75,2013986.64,26853.155199999997,2277677.246141452,2133826.666604856,0.7640622998472391,28451.02222139808,1.1309296699909845,16.64006535302126
2025Q4,Enterprise,3,703316.40,234438.80000000002,588248.5780133352,552891.0773246624,0.7640622998472391,184297.02577488744,0.8363925226446237,12.34642752752541
2025Q4,Mid-Market,15,768936.36,51262.424,898673.1682824852,835855.3439761648,0.7640622998472391,55723.68959841099,1.16872242623887,17.07234587203818
2025Q4,SMB,57,541733.88,9504.103157894737,790755.4998456315,745080.245304029,0.7640622998472391,13071.583250947877,1.4596751819281295,21.600784607906665
2026Q1,Blended,40,1067941.44,26698.536,2064088.808224792,2277677.246141452,0.7640622998472391,56941.931153536294,1.9327734002201393,33.4963294122846
2026Q1,Enterprise,2,287127.72,143563.86,518774.8208549537,588248.5780133352,0.7640622998472391,294124.2890066676,1.8067737272282653,32.17645824396167
2026Q1,Mid-Market,8,534678.12,66834.765,794379.6566392074,898673.1682824852,0.7640622998472391,112334.14603531065,1.4857156613014337,26.39744158306483
2026Q1,SMB,30,246135.60,8204.52,750934.3307306309,790755.4998456315,0.7640622998472391,26358.51666152105,3.0508968663234044,50.456864978340114
2026Q2,Blended,34,955604.04,28106.00117647059,2472017.7556103556,2064088.808224792,0.7640622998472391,60708.4943595527,2.5868640693590574,33.92367364894101
2026Q2,Enterprise,1,431755.68,431755.68,626508.87373905,518774.8208549537,0.7640622998472391,518774.8208549537,1.4510726847624795,18.87093001907093
2026Q2,Mid-Market,7,282771.36,40395.90857142857,933720.1878419728,794379.6566392074,0.7640622998472391,113482.80809131534,3.302032383484568,44.1209817812315
2026Q2,SMB,26,241077.00,9272.192307692309,911788.694029333,750934.3307306309,0.7640622998472391,28882.089643485804,3.7821471730166416,48.92137510064892
