month_end_date,total_arr,top10_arr,top10_share,largest_customer_arr,largest_customer_share
2023-12-31,18571137.00,3474172.56,0.1870737672119914,614997.12,0.03311574945572799
2024-01-31,18907898.16,3354874.56,0.17743244286651055,459727.44,0.024314042529198814
2024-02-29,19295505.12,3354889.20,0.17386894922603613,459727.44,0.023825623488005376
2024-03-31,20049093.12,3695549.28,0.18432500950945754,589680.24,0.029411816109116858
2024-04-30,20540519.76,3770420.88,0.18356014959964184,589680.24,0.02870814599094643
2024-05-31,20964271.68,3827735.28,0.18258374716884035,589680.24,0.02812786673445743
2024-06-30,21544333.44,4004508.12,0.1858729178673536,636500.28,0.02954374438051772
2024-07-31,22005900.36,4004508.12,0.18197429118960168,636500.28,0.028924073525160687
2024-08-31,21988410.12,3947193.72,0.17951246581533198,636500.28,0.028947080599568152
2024-09-30,22403672.52,3947213.28,0.17618599256332995,636500.28,0.02841053311379147
2024-10-31,22755724.32,3947213.28,0.17346023464218166,636500.28,0.02797099626666597
2024-11-30,23306577.00,3947213.28,0.169360489101424,636500.28,0.02730989969054658
2024-12-31,24495197.40,4258175.16,0.1738371440925804,636500.28,0.02598469690225889
2025-01-31,24682778.64,4267373.40,0.1728886954844076,593709.36,0.024053586861483112
2025-02-28,25232335.44,4267366.92,0.1691229466312136,593709.36,0.023529703043611724
2025-03-31,25814329.44,4267366.92,0.1653100046591797,593709.36,0.022999216825676336
2025-04-30,26429650.08,4450849.56,0.16840365069260121,660633.36,0.024995917766611614
2025-05-31,26591130.00,4450849.56,0.1673809860656542,660633.36,0.024844125089832587
2025-06-30,27137770.92,4450849.56,0.16400940125556926,660633.36,0.024343685483509122
2025-07-31,27467696.88,4450849.56,0.16203941595266358,660633.36,0.02405128332696236
2025-08-31,27793280.76,4450849.56,0.16014120817307928,660633.36,0.023769535007568496
2025-09-30,28118371.32,4465613.16,0.1588147872854821,660633.36,0.02349472352013879
2025-10-31,28752266.04,4465613.16,0.15531343351468238,660633.36,0.022976740653447292
2025-11-30,29388435.72,4602674.40,0.15661515447274035,660633.36,0.02247936454645705
2025-12-31,30189315.84,4602674.40,0.15246037453759007,660633.36,0.02188301859841021
2026-01-31,30180849.36,4434992.40,0.14694723621257294,593709.36,0.019671724705894757
2026-02-28,30578224.92,4450467.84,0.14554369495428512,593709.36,0.01941608322763295
2026-03-31,30837429.36,4450467.84,0.14432032540860273,593709.36,0.01925288107088833
2026-04-30,31447353.84,4746359.04,0.1509303156045768,733453.68,0.02332322406939916
2026-05-31,32493210.36,5117317.68,0.15748882992182123,733453.68,0.022572521209012358
2026-06-30,33016720.32,5141226.12,0.15571583337687492,733453.68,0.02221461347133585
