commentary_id,metric,evidence_label,evidence_amount,source_model
1,policy_runway_months,base_headroom,1.647058823529413,fct_cash_runway_policy
1,policy_runway_months,base_runway,25.647058823529413,fct_cash_runway_policy
1,policy_runway_months,bear_headroom,-0.4602249485169452,fct_cash_runway_policy
1,policy_runway_months,bear_runway,23.539775051483055,fct_cash_runway_policy
1,policy_runway_months,bull_runway,28.263294394628264,fct_cash_runway_policy
1,policy_runway_months,floor_months,24.0,fct_cash_runway_policy
1,policy_runway_months,fullclose_headroom,0.6610599624325211,fct_cash_runway_policy
1,policy_runway_months,fullclose_runway,24.66105996243252,fct_cash_runway_policy
2,new_logo_arr,h2_capacity_bound_months,3.0,fct_new_logo_diagnosis
2,new_logo_arr,h2_capacity_supported_arr,2920858.7822501613,fct_new_logo_diagnosis
2,new_logo_arr,h2_constrained_new_logo_arr,1182768.0335644472,fct_new_logo_diagnosis
2,new_logo_arr,h2_pipeline_bound_months,15.0,fct_new_logo_diagnosis
2,new_logo_arr,h2_pipeline_supported_arr,1219294.6487040257,fct_new_logo_diagnosis
2,new_logo_arr,h2_segment_months,18.0,fct_new_logo_diagnosis
2,new_logo_arr,headline_variance,-2793686.486435552,fct_management_variance
3,exit_arr,h2_pipeline_bound_months,15.0,fct_new_logo_diagnosis
3,exit_arr,h2_segment_months,18.0,fct_new_logo_diagnosis
3,exit_arr,headline_variance,-2772899.2752023414,fct_management_variance
3,exit_arr,offset_driver_amount,1538102.5529514458,fct_arr_budget_bridge
3,exit_arr,secondary_unfavorable_driver_amount,-1219395.3143991916,fct_arr_budget_bridge
3,exit_arr,top_driver_amount,-2793686.486435552,fct_arr_budget_bridge
4,hiring_decision,fullclose_hires,4.0,fct_hiring_scenario
4,hiring_decision,fullclose_headroom,0.6610599624325211,fct_cash_runway_policy
4,hiring_decision,fullclose_incr_arr_2026,466.8747128918767,fct_hiring_scenario
4,hiring_decision,fullclose_incr_arr_2027,147322.04056936502,fct_hiring_scenario
4,hiring_decision,fullclose_incr_cash_2026,-139065.216370333,fct_hiring_scenario
4,hiring_decision,fullclose_incr_cash_2027,-637083.11137514,fct_hiring_scenario
4,hiring_decision,fullclose_incr_oi_2027,-31366.641829413362,fct_hiring_scenario
4,hiring_decision,fullclose_runway,24.66105996243252,fct_cash_runway_policy
4,hiring_decision,h2_pipeline_bound_months,15.0,fct_new_logo_diagnosis
4,hiring_decision,h2_segment_months,18.0,fct_new_logo_diagnosis
4,hiring_decision,targeted_hires,0.0,fct_hiring_scenario
5,segment_arr,headline_variance,-1999776.4464204218,int_budget_reforecast_comparison
5,segment_arr,top_driver_amount,-976401.7382200463,fct_arr_budget_bridge
6,total_opex,headline_variance,871551.317246899,fct_management_variance
6,total_opex,top_driver_amount,2409941.9530377635,fct_opex_budget_bridge
7,total_revenue,headline_variance,-841657.0083486214,fct_management_variance
7,total_revenue,top_driver_amount,-425016.07908251137,fct_revenue_budget_bridge
8,gross_profit,headline_variance,783329.0261156633,fct_management_variance
8,gross_profit,margin_bps_variance,429.0017202178842,fct_management_variance
8,gross_profit,revenue_variance,-841657.0083486214,fct_management_variance
8,gross_profit,services_cogs_impact,-35790.59573582218,fct_gross_profit_bridge
8,gross_profit,subscription_cogs_impact,1660776.6302001076,fct_gross_profit_bridge
9,ending_headcount,headline_variance,3.66246733183948,fct_management_variance
