contract_id,customer_id,segment,contract_type,billing_frequency,bills_in_advance,billing_period_months,term_months,start_date,end_date,month_end_date,period_offset,period_start_offset,billing_period_length,months_remaining_in_period,is_billing_anchor,in_force_monthly_rate,net_acv,monthly_rate_delta,scheduled_billing,proration_billing,arrears_billing,billings,subscription_revenue_recognised,net_contract_position,deferred_revenue,unbilled_receivable,is_in_observation_window,is_in_reporting_window
CTR-00006-02R,CUST-00006,SMB,monthly,Monthly in arrears,false,1,1,2020-03-01,2023-12-31,2020-03-31,0,0,1,1,true,286.68,2752.14,0.0,0.0,0.0,0.0,0.0,286.68,-286.68,0.0,286.68,false,false
CTR-00006-02R,CUST-00006,SMB,monthly,Monthly in arrears,false,1,1,2020-03-01,2023-12-31,2020-04-30,1,1,1,1,true,286.68,2752.14,0.0,0.0,0.0,286.68,286.68,286.68,-286.68,0.0,286.68,false,false
CTR-00006-02R,CUST-00006,SMB,monthly,Monthly in arrears,false,1,1,2020-03-01,2023-12-31,2020-05-31,2,2,1,1,true,286.68,2752.14,0.0,0.0,0.0,286.68,286.68,286.68,-286.68,0.0,286.68,false,false
CTR-00006-02R,CUST-00006,SMB,monthly,Monthly in arrears,false,1,1,2020-03-01,2023-12-31,2020-06-30,3,3,1,1,true,286.68,2752.14,0.0,0.0,0.0,286.68,286.68,286.68,-286.68,0.0,286.68,false,false
CTR-00006-02R,CUST-00006,SMB,monthly,Monthly in arrears,false,1,1,2020-03-01,2023-12-31,2020-07-31,4,4,1,1,true,286.68,2752.14,0.0,0.0,0.0,286.68,286.68,286.68,-286.68,0.0,286.68,false,false
CTR-00006-02R,CUST-00006,SMB,monthly,Monthly in arrears,false,1,1,2020-03-01,2023-12-31,2020-08-31,5,5,1,1,true,286.68,2752.14,0.0,0.0,0.0,286.68,286.68,286.68,-286.68,0.0,286.68,false,false
CTR-00006-02R,CUST-00006,SMB,monthly,Monthly in arrears,false,1,1,2020-03-01,2023-12-31,2020-09-30,6,6,1,1,true,286.68,2752.14,0.0,0.0,0.0,286.68,286.68,286.68,-286.68,0.0,286.68,false,false
CTR-00006-02R,CUST-00006,SMB,monthly,Monthly in arrears,false,1,1,2020-03-01,2023-12-31,2020-10-31,7,7,1,1,true,286.68,2752.14,0.0,0.0,0.0,286.68,286.68,286.68,-286.68,0.0,286.68,false,false
CTR-00006-02R,CUST-00006,SMB,monthly,Monthly in arrears,false,1,1,2020-03-01,2023-12-31,2020-11-30,8,8,1,1,true,286.68,2752.14,0.0,0.0,0.0,286.68,286.68,286.68,-286.68,0.0,286.68,false,false
CTR-00006-02R,CUST-00006,SMB,monthly,Monthly in arrears,false,1,1,2020-03-01,2023-12-31,2020-12-31,9,9,1,1,true,286.68,2752.14,0.0,0.0,0.0,286.68,286.68,286.68,-286.68,0.0,286.68,false,false
