customer_id,segment,month_end_date,beg_arr,end_arr,movement_arr,movement_type
CUST-00006,SMB,2026-01-31,0.00,0.00,0.00,No Change
CUST-00006,SMB,2025-06-30,0.00,0.00,0.00,No Change
CUST-00006,SMB,2026-05-31,0.00,0.00,0.00,No Change
CUST-00006,SMB,2026-04-30,0.00,0.00,0.00,No Change
CUST-00006,SMB,2026-03-31,0.00,0.00,0.00,No Change
CUST-00006,SMB,2026-02-28,0.00,0.00,0.00,No Change
CUST-00006,SMB,2023-12-31,0.00,3440.16,3440.16,New Logo
CUST-00006,SMB,2024-01-31,3440.16,0.00,-3440.16,Churn
CUST-00006,SMB,2026-06-30,0.00,0.00,0.00,No Change
CUST-00006,SMB,2024-03-31,0.00,0.00,0.00,No Change
CUST-00006,SMB,2024-04-30,0.00,0.00,0.00,No Change
CUST-00006,SMB,2024-05-31,0.00,0.00,0.00,No Change
CUST-00006,SMB,2024-06-30,0.00,0.00,0.00,No Change
CUST-00006,SMB,2024-07-31,0.00,0.00,0.00,No Change
CUST-00006,SMB,2024-08-31,0.00,0.00,0.00,No Change
CUST-00006,SMB,2024-09-30,0.00,0.00,0.00,No Change
CUST-00006,SMB,2024-10-31,0.00,0.00,0.00,No Change
CUST-00006,SMB,2024-11-30,0.00,0.00,0.00,No Change
CUST-00006,SMB,2024-12-31,0.00,0.00,0.00,No Change
CUST-00006,SMB,2025-01-31,0.00,0.00,0.00,No Change
CUST-00006,SMB,2025-02-28,0.00,0.00,0.00,No Change
CUST-00006,SMB,2025-03-31,0.00,0.00,0.00,No Change
CUST-00006,SMB,2025-04-30,0.00,0.00,0.00,No Change
CUST-00006,SMB,2025-05-31,0.00,0.00,0.00,No Change
CUST-00006,SMB,2025-12-31,0.00,0.00,0.00,No Change
CUST-00006,SMB,2025-07-31,0.00,0.00,0.00,No Change
CUST-00006,SMB,2025-08-31,0.00,0.00,0.00,No Change
CUST-00006,SMB,2025-09-30,0.00,0.00,0.00,No Change
CUST-00006,SMB,2025-10-31,0.00,0.00,0.00,No Change
CUST-00006,SMB,2025-11-30,0.00,0.00,0.00,No Change
CUST-00006,SMB,2024-02-29,0.00,0.00,0.00,No Change
CUST-00008,SMB,2026-01-31,0.00,0.00,0.00,No Change
CUST-00008,SMB,2025-12-31,0.00,0.00,0.00,No Change
CUST-00008,SMB,2026-02-28,0.00,0.00,0.00,No Change
CUST-00008,SMB,2026-03-31,0.00,0.00,0.00,No Change
CUST-00008,SMB,2026-04-30,0.00,0.00,0.00,No Change
CUST-00008,SMB,2026-06-30,0.00,0.00,0.00,No Change
CUST-00008,SMB,2023-12-31,0.00,3954.72,3954.72,New Logo
CUST-00008,SMB,2024-01-31,3954.72,3954.72,0.00,No Change
CUST-00008,SMB,2024-02-29,3954.72,3954.72,0.00,No Change
CUST-00008,SMB,2024-03-31,3954.72,3954.72,0.00,No Change
CUST-00008,SMB,2024-04-30,3954.72,3954.72,0.00,No Change
CUST-00008,SMB,2024-05-31,3954.72,3954.72,0.00,No Change
CUST-00008,SMB,2024-06-30,3954.72,3954.72,0.00,No Change
CUST-00008,SMB,2024-07-31,3954.72,3954.72,0.00,No Change
CUST-00008,SMB,2024-08-31,3954.72,0.00,-3954.72,Churn
CUST-00008,SMB,2024-09-30,0.00,0.00,0.00,No Change
CUST-00008,SMB,2024-10-31,0.00,0.00,0.00,No Change
CUST-00008,SMB,2024-11-30,0.00,0.00,0.00,No Change
CUST-00008,SMB,2024-12-31,0.00,0.00,0.00,No Change
CUST-00008,SMB,2025-01-31,0.00,0.00,0.00,No Change
CUST-00008,SMB,2025-02-28,0.00,0.00,0.00,No Change
CUST-00008,SMB,2025-03-31,0.00,0.00,0.00,No Change
CUST-00008,SMB,2025-04-30,0.00,0.00,0.00,No Change
CUST-00008,SMB,2025-05-31,0.00,0.00,0.00,No Change
CUST-00008,SMB,2025-06-30,0.00,0.00,0.00,No Change
CUST-00008,SMB,2025-07-31,0.00,0.00,0.00,No Change
CUST-00008,SMB,2025-08-31,0.00,0.00,0.00,No Change
CUST-00008,SMB,2025-09-30,0.00,0.00,0.00,No Change
CUST-00008,SMB,2025-10-31,0.00,0.00,0.00,No Change
CUST-00008,SMB,2025-11-30,0.00,0.00,0.00,No Change
CUST-00008,SMB,2026-05-31,0.00,0.00,0.00,No Change
CUST-00016,SMB,2023-12-31,0.00,5782.68,5782.68,New Logo
CUST-00016,SMB,2024-01-31,5782.68,5782.68,0.00,No Change
CUST-00016,SMB,2024-02-29,5782.68,5782.68,0.00,No Change
CUST-00016,SMB,2024-03-31,5782.68,0.00,-5782.68,Churn
CUST-00016,SMB,2024-04-30,0.00,0.00,0.00,No Change
CUST-00016,SMB,2024-05-31,0.00,0.00,0.00,No Change
CUST-00016,SMB,2024-06-30,0.00,0.00,0.00,No Change
CUST-00016,SMB,2024-07-31,0.00,0.00,0.00,No Change
CUST-00016,SMB,2024-08-31,0.00,0.00,0.00,No Change
CUST-00016,SMB,2024-09-30,0.00,0.00,0.00,No Change
CUST-00016,SMB,2024-10-31,0.00,0.00,0.00,No Change
CUST-00016,SMB,2024-11-30,0.00,0.00,0.00,No Change
CUST-00016,SMB,2024-12-31,0.00,0.00,0.00,No Change
CUST-00016,SMB,2025-01-31,0.00,0.00,0.00,No Change
CUST-00016,SMB,2025-02-28,0.00,0.00,0.00,No Change
CUST-00016,SMB,2025-03-31,0.00,0.00,0.00,No Change
CUST-00016,SMB,2025-04-30,0.00,0.00,0.00,No Change
CUST-00016,SMB,2025-05-31,0.00,0.00,0.00,No Change
CUST-00016,SMB,2025-06-30,0.00,0.00,0.00,No Change
CUST-00016,SMB,2025-07-31,0.00,0.00,0.00,No Change
CUST-00016,SMB,2025-08-31,0.00,0.00,0.00,No Change
CUST-00016,SMB,2025-09-30,0.00,0.00,0.00,No Change
CUST-00016,SMB,2025-10-31,0.00,0.00,0.00,No Change
CUST-00016,SMB,2025-11-30,0.00,0.00,0.00,No Change
CUST-00016,SMB,2025-12-31,0.00,0.00,0.00,No Change
CUST-00016,SMB,2026-01-31,0.00,0.00,0.00,No Change
CUST-00016,SMB,2026-02-28,0.00,0.00,0.00,No Change
CUST-00016,SMB,2026-03-31,0.00,0.00,0.00,No Change
CUST-00016,SMB,2026-04-30,0.00,0.00,0.00,No Change
CUST-00016,SMB,2026-05-31,0.00,0.00,0.00,No Change
CUST-00016,SMB,2026-06-30,0.00,0.00,0.00,No Change
CUST-00020,SMB,2023-12-31,0.00,6181.08,6181.08,New Logo
CUST-00020,SMB,2026-05-31,6681.00,6681.00,0.00,No Change
CUST-00020,SMB,2025-11-30,6681.00,6681.00,0.00,No Change
CUST-00020,SMB,2025-12-31,6681.00,6681.00,0.00,No Change
CUST-00020,SMB,2026-01-31,6681.00,6681.00,0.00,No Change
CUST-00020,SMB,2024-01-31,6181.08,6181.08,0.00,No Change
CUST-00020,SMB,2026-02-28,6681.00,6681.00,0.00,No Change
CUST-00020,SMB,2026-06-30,6681.00,6681.00,0.00,No Change
CUST-00020,SMB,2026-03-31,6681.00,6681.00,0.00,No Change
